ID,sender,sender_type,sender_id,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,response,response_action,prime,target,condition,soa_condition,congruence,correct_response,correctResponse,correct
4549,Wecome0,canvas.Screen,0,timeout,493.5999999999999,1601.9000000003725,1596.916,1600.1,2077.6,2080.300000000745,2024-10-01T09:26:33.186Z,2093.7,,,,,,,,,,
4549,Wecome1,canvas.Screen,1,timeout,492.2000000000003,2080.9000000003725,2077.6,2093.7,2569.5,2570.9000000003725,2024-10-01T09:26:33.676Z,2585.9,,,,,,,,,,
4549,Wecome2,canvas.Screen,2,timeout,494.0,2571.199999999255,2569.5,2585.9,3063.0,3065.199999999255,2024-10-01T09:26:34.170Z,3079.9,,,,,,,,,,
4549,Wecome3,canvas.Screen,3,timeout,508.5999999999999,3065.5,3063.0,3079.9,3572.5,3573.5999999996275,2024-10-01T09:26:34.679Z,3588.5,,,,,,,,,,
4549,Instructions1,canvas.Screen,4,response,22964.5,3573.9000000003725,3572.5,3588.5,26553.0,26562.599999999627,2024-10-01T09:26:57.666Z,26580.4,,keypress,,,,,,,,
4549,Instructions 1a,canvas.Screen,5,response,11462.299999999253,26562.800000000745,26563.374,26580.4,38042.699999999255,38050.0,2024-10-01T09:27:09.153Z,38067.2,,keypress,,,,,,,,
4549,Instructions2,canvas.Screen,6,response,4469.200000000375,38050.300000000745,38046.8,38067.2,42536.40000000037,42544.59999999963,2024-10-01T09:27:13.648Z,42556.0,,keypress,,,,,,,,
4549,Instructions3,canvas.Screen,7,response,7697.300000000745,42544.90000000037,42534.9,42556.0,50253.300000000745,50261.800000000745,2024-10-01T09:27:21.364Z,50278.6,,keypress,,,,,,,,
4549,Instructions4,canvas.Screen,8,response,2639.800000000374,50262.0,50272.358,50278.6,52918.40000000037,52925.800000000745,2024-10-01T09:27:24.028Z,52939.8,,keypress,,,,,,,,
4549,Instructions5,canvas.Screen,9,response,6446.699999999997,52926.0,52912.9,52939.8,59386.5,59392.59999999963,2024-10-01T09:27:30.495Z,59411.7,,keypress(Space),,,,,,,,
